Time,VS,HS,Distance,Altitude,Angle,Weight,Acceleration,Throttle,Fuel
0.0,43.00,1700.00,181000.0,30000.0,58.3,381.1,0.00,0.70,216.1
1.0,42.97,1697.07,179302.9,29957.0,62.3,380.8,1.65,1.00,215.8
2.0,42.94,1694.04,177608.9,29914.1,66.3,380.6,1.65,1.00,215.6
3.0,42.91,1690.93,175918.0,29871.2,70.3,380.4,1.66,1.00,215.4
4.0,42.88,1687.74,174230.2,29828.3,74.3,380.2,1.66,1.00,215.2
5.0,42.85,1684.51,172545.7,29785.5,77.0,379.9,1.66,1.00,214.9
6.0,42.82,1681.28,170864.4,29742.6,77.0,379.7,1.66,1.00,214.7
7.0,42.78,1678.04,169186.4,29699.9,77.0,379.5,1.66,1.00,214.5
8.0,42.75,1674.81,167511.6,29657.1,77.0,379.3,1.66,1.00,214.3
9.0,42.72,1671.57,165840.0,29614.4,77.0,379.1,1.66,1.00,214.1
10.0,42.69,1669.30,164170.7,29571.7,77.0,378.9,1.16,0.70,213.9
11.0,42.66,1667.04,162503.7,29529.0,77.0,378.8,1.16,0.70,213.8
12.0,42.63,1664.77,160838.9,29486.4,77.0,378.6,1.16,0.70,213.6
13.0,42.60,1662.50,159176.4,29443.8,77.0,378.4,1.16,0.70,213.4
14.0,42.57,1660.23,157516.2,29401.2,77.0,378.3,1.17,0.70,213.3
15.0,42.54,1657.95,155858.2,29358.7,77.0,378.1,1.17,0.70,213.1
16.0,42.51,1655.68,154202.5,29316.2,77.0,378.0,1.17,0.70,213.0
17.0,42.48,1653.41,152549.1,29273.7,77.0,377.8,1.17,0.70,212.8
18.0,42.45,1651.13,150898.0,29231.3,77.0,377.7,1.17,0.70,212.7
19.0,42.41,1648.86,149249.1,29188.9,77.0,377.5,1.17,0.70,212.5
20.0,42.38,1646.58,147602.6,29146.5,77.0,377.4,1.17,0.70,212.4
21.0,42.35,1644.30,145958.3,29104.1,77.0,377.2,1.17,0.70,212.2
22.0,42.32,1642.03,144316.2,29061.8,77.0,377.0,1.17,0.70,212.0
